latitude_deg,longitude_deg,part_index
42.23398530,102.37970194,3
42.60355067,101.67667817,3
42.77346578,100.24939123,3
42.66302096,99.19166966,3
42.79045729,97.90668663,3
42.72673912,97.22490225,3
42.87860076,96.53249817,3
43.31188429,96.06523161,3
44.12322895,95.60858475,3
44.20606256,95.40256267,3
44.43332403,95.38769510,3
44.41633251,94.90768491,3
44.96430875,93.87545061,3
45.17882658,93.12357624,3
45.08643524,91.74301596,3
45.28502352,90.88388268,3
45.43369924,90.67998454,3
45.80751249,90.77768573,3
46.10911181,91.04954991,3
46.40221538,90.93273327,3
46.89921708,90.98370781,3
47.99198364,89.97802274,3
48.01109909,89.63606858,3
48.21287329,89.38756773,3
48.04932999,88.85021119,3
48.47305580,88.45409658,3
48.53783594,88.14081560,3
48.93819842,87.74894887,3
49.19731896,87.79992340,3
48.98704901,86.97371117,3
48.53040215,86.81229182,3
48.17995223,85.81828842,3
47.76366021,85.60801847,3
47.19869247,85.76943782,3
46.99479433,85.59315089,3
46.76540893,84.92198620,3
46.94381980,84.73295564,3
46.95656343,84.09365003,3
47.19869247,83.16548874,3
45.76928159,82.38600316,3
45.57918906,82.33609060,3
45.39228244,82.62176038,3
45.13103795,82.55804221,3
45.14378159,82.04404900,3
45.39440638,81.71696241,3
44.96961860,79.86488770,3
44.84005832,79.80329347,3
44.75934865,80.37038515,3
44.10729941,80.24401079,3
43.47224168,80.60508040,3
43.05594965,80.68791402,3
42.94125695,80.34171198,3
42.59293097,80.07515765,3
41.98442248,80.13675187,3
41.38228580,78.47583166,3
40.91501925,78.07653115,3
40.96174590,76.96093224,3
40.47323996,76.60623445,3
40.27996152,76.28870558,3
40.36067120,76.12091441,3
40.22792502,75.87347553,3
40.54545388,75.58249590,3
40.39890210,75.42320048,3
40.46793011,74.99416483,3
40.11641822,74.55026160,3
40.08031126,74.19343986,3
39.84667798,73.96405446,3
39.53764488,74.00122339,3
39.41870430,73.74528876,3
38.52452602,73.93219538,3
38.62222721,74.48654343,3
38.38646999,74.90920727,3
38.13159733,74.80194836,3
37.36804130,74.98885498,3
37.24272890,74.40052391,3
37.04520258,74.42176330,3
36.96449291,75.13115889,3
36.73085963,75.70674633,3
36.51421786,75.83843054,3
36.07243857,75.80657145,3
35.87278831,76.04020473,3
35.46074417,77.34855109,3
35.50747082,77.94325398,3
35.19100393,77.96661731,3
34.63028406,78.33193480,3
34.36266776,79.06256978,3
34.12478660,78.74822682,3
33.72548609,78.89690255,3
33.61079339,78.80344923,3
33.34317709,79.04133039,3
33.16476622,79.47036605,3
32.94281461,79.46930408,3
32.81750222,79.61266995,3
32.63909135,79.49903922,3
32.44156503,79.00416146,3
32.64864907,78.72167759,3
32.55519576,78.41529940,3
32.16332904,78.46096409,3
31.93925348,78.71052691,3
31.38490543,78.66273828,3
31.47411086,79.06841061,3
31.00472037,79.39124932,3
30.97923310,79.80754135,3
30.73498013,80.31728668,3
30.64577470,80.24719670,3
30.54594957,80.35126970,3
30.28895296,80.85039534,3
29.97779591,81.14137497,3
30.42063717,81.66386394,3
30.17107435,81.87307192,3
29.91832563,82.63131811,3
29.45105907,83.32584612,3
29.13459217,83.40655580,3
29.01989947,83.57434697,3
29.27052426,83.96090385,3
29.14308793,84.08621625,3
28.78201832,84.07559655,3
28.52183580,84.74994715,3
28.57387231,85.02287330,3
28.29882222,85.04836057,3
28.15227043,85.19809826,3
